Date,Description,Amount,Balance
10/18/2021 01:07PM,Brick City Cafe 1 [1515],-9.99,1322.31
10/18/2021 09:05AM,Artesano Bakery & Cafe 1 [1500],-5.05,1332.30
10/17/2021 05:54PM,Beanz 1 [1505],-3.25,1337.35
10/17/2021 05:51PM,Beanz 1 [1505],-4.69,1340.60
10/15/2021 12:53PM,Beanz 1 [1505],-8.08,1345.29
10/15/2021 10:01AM,Ctrl Alt DELi 1 [1595],-6.89,1353.37
10/14/2021 07:15PM,Gracie's 2 [1586],-12.50,1360.26
10/14/2021 06:43PM,Global Village Market 2 [1801],-24.53,1372.76
10/14/2021 12:53PM,Beanz 1 [1505],-6.88,1397.29
10/14/2021 12:26PM,Cafe & Market at Crossroads 2 [1562],-9.99,1404.17
10/13/2021 06:47PM,Ctrl Alt DELi 1 [1595],-9.08,1414.16
10/13/2021 11:12AM,Cafe & Market at Crossroads 3 [1563],-33.33,1423.24
10/13/2021 09:03AM,Ctrl Alt DELi 1 [1595],-6.89,1456.57
10/12/2021 04:01PM,The Corner Store 2 [1551],-12.78,1463.46
10/11/2021 10:00PM,The Corner Store 2 [1551],-23.46,1476.24
10/11/2021 01:10PM,Brick City Cafe 1 [1515],-7.29,1499.70
10/11/2021 12:02PM,Beanz 1 [1505],-2.49,1506.99
10/09/2021 08:11PM,Sol's Underground OnDemand [1715],-16.87,1509.48
10/08/2021 09:15PM,The Corner Store 2 [1551],-13.17,1526.35
10/08/2021 04:47PM,GOS_A910_93_BEVERAGE,-2.25,1539.52
10/08/2021 04:18PM,RITz Sports Zone 2 [1802],-11.57,1541.77
10/07/2021 07:17PM,Beanz 1 [1505],-5.29,1553.34
10/07/2021 05:07PM,RITz Sports Zone 2 [1802],-11.98,1558.63
10/07/2021 12:20PM,Ctrl Alt DELi 2 [1800],-7.49,1570.61
10/06/2021 08:46PM,Beanz 1 [1505],-10.27,1578.10
10/06/2021 01:46PM,RITz Sports Zone 2 [1802],-9.99,1588.37
10/06/2021 09:04AM,Ctrl Alt DELi 1 [1595],-6.89,1598.36
10/06/2021 07:52AM,Beanz 1 [1505],-5.95,1605.25
10/05/2021 09:08PM,Beanz 1 [1505],-14.36,1611.20
10/05/2021 07:10PM,GWH_1950_133_SNACK,-3.50,1625.56
10/05/2021 07:08PM,Beanz 1 [1505],-7.18,1629.06
10/05/2021 12:48PM,RITz Sports Zone 2 [1802],-18.17,1636.24
10/04/2021 10:06PM,Sol's Underground 2 [1536],-10.28,1654.41
10/04/2021 07:12PM,Artesano Bakery & Cafe 1 [1500],-4.75,1664.69
10/04/2021 01:31PM,Brick City Cafe 3 [1517],-9.99,1669.44
10/04/2021 09:49AM,Beanz 1 [1505],-7.78,1679.43
10/01/2021 10:52PM,The Corner Store 2 [1551],-12.58,1687.21
10/01/2021 10:42PM,CPC_A950_21_BEVERAGE,-2.25,1699.79
10/01/2021 10:41PM,CPC_A950_21_BEVERAGE,-2.25,1702.04
10/01/2021 05:59PM,Beanz 1 [1505],-4.69,1704.29
10/01/2021 12:18PM,Brick City Cafe 3 [1517],-10.24,1708.98
